"year","country","team_size_all","p1","p2","p3","p4","p5","p6","total_points","total_awards","gender","gender_prop"
2024,"United States of America",6,42,41,19,40,35,15,192,6,"team_size_male",83.3333333333333
2024,"United States of America",6,42,41,19,40,35,15,192,6,"team_size_female",16.6666666666667
2024,"People's Republic of China",6,42,42,31,40,22,13,190,6,"team_size_male",100
2024,"People's Republic of China",6,42,42,31,40,22,13,190,6,"team_size_female",0
2024,"Republic of Korea",6,42,37,18,42,7,22,168,6,"team_size_male",100
2024,"Republic of Korea",6,42,37,18,42,7,22,168,6,"team_size_female",0
2024,"India",6,42,34,11,42,28,10,167,6,"team_size_male",100
2024,"India",6,42,34,11,42,28,10,167,6,"team_size_female",0
2024,"Belarus",6,42,30,10,42,36,5,165,6,"team_size_male",100
2024,"Belarus",6,42,30,10,42,36,5,165,6,"team_size_female",0
2024,"Singapore",6,42,37,7,42,29,5,162,6,"team_size_male",100
2024,"Singapore",6,42,37,7,42,29,5,162,6,"team_size_female",0
2024,"United Kingdom",6,42,33,8,42,31,6,162,6,"team_size_male",100
2024,"United Kingdom",6,42,33,8,42,31,6,162,6,"team_size_female",0
2024,"Hungary",6,42,37,16,36,23,1,155,6,"team_size_male",100
2024,"Hungary",6,42,37,16,36,23,1,155,6,"team_size_female",0
2024,"Poland",6,42,25,5,42,35,2,151,6,"team_size_male",100
2024,"Poland",6,42,25,5,42,35,2,151,6,"team_size_female",0
2024,"Türkiye",6,38,37,5,42,12,17,151,6,"team_size_male",83.3333333333333
2024,"Türkiye",6,38,37,5,42,12,17,151,6,"team_size_female",16.6666666666667
2024,"Taiwan",6,42,33,6,42,23,3,149,6,"team_size_male",100
2024,"Taiwan",6,42,33,6,42,23,3,149,6,"team_size_female",0
2024,"Romania",6,39,42,2,39,14,9,145,6,"team_size_male",83.3333333333333
2024,"Romania",6,39,42,2,39,14,9,145,6,"team_size_female",16.6666666666667
2024,"Bosnia and Herzegovina",6,42,25,3,42,29,3,144,6,"team_size_male",83.3333333333333
2024,"Bosnia and Herzegovina",6,42,25,3,42,29,3,144,6,"team_size_female",16.6666666666667
2024,"Italy",6,42,32,3,36,27,3,143,6,"team_size_male",83.3333333333333
2024,"Italy",6,42,32,3,36,27,3,143,6,"team_size_female",16.6666666666667
2024,"Japan",6,42,30,4,35,21,11,143,6,"team_size_male",100
2024,"Japan",6,42,30,4,35,21,11,143,6,"team_size_female",0
2024,"Israel",6,39,35,14,36,14,4,142,6,"team_size_male",100
2024,"Israel",6,39,35,14,36,14,4,142,6,"team_size_female",0
2024,"Mongolia",6,42,37,0,42,19,2,142,6,"team_size_male",100
2024,"Mongolia",6,42,37,0,42,19,2,142,6,"team_size_female",0
2024,"Hong Kong",6,42,37,4,42,10,5,140,6,"team_size_male",100
2024,"Hong Kong",6,42,37,4,42,10,5,140,6,"team_size_female",0
2024,"Islamic Republic of Iran",6,40,30,2,42,16,7,137,6,"team_size_male",83.3333333333333
2024,"Islamic Republic of Iran",6,40,30,2,42,16,7,137,6,"team_size_female",16.6666666666667
2024,"Brazil",6,36,42,3,38,10,5,134,6,"team_size_male",100
2024,"Brazil",6,36,42,3,38,10,5,134,6,"team_size_female",0
2024,"France",6,39,21,5,42,18,8,133,6,"team_size_male",100
2024,"France",6,39,21,5,42,18,8,133,6,"team_size_female",0
2024,"Serbia",6,42,20,14,35,17,4,132,6,"team_size_male",100
2024,"Serbia",6,42,20,14,35,17,4,132,6,"team_size_female",0
2024,"Canada",6,37,23,8,42,11,10,131,6,"team_size_male",83.3333333333333
2024,"Canada",6,37,23,8,42,11,10,131,6,"team_size_female",16.6666666666667
2024,"Mexico",6,40,17,4,36,30,2,129,6,"team_size_male",100
2024,"Mexico",6,40,17,4,36,30,2,129,6,"team_size_female",0
2024,"Austria",6,38,26,2,29,28,4,127,6,"team_size_male",100
2024,"Austria",6,38,26,2,29,28,4,127,6,"team_size_female",0
2024,"Kazakhstan",6,35,35,0,40,13,4,127,6,"team_size_male",100
2024,"Kazakhstan",6,35,35,0,40,13,4,127,6,"team_size_female",0
2024,"Bulgaria",6,42,15,4,42,20,3,126,6,"team_size_male",83.3333333333333
2024,"Bulgaria",6,42,15,4,42,20,3,126,6,"team_size_female",16.6666666666667
2024,"Greece",6,42,21,2,42,15,4,126,6,"team_size_male",100
2024,"Greece",6,42,21,2,42,15,4,126,6,"team_size_female",0
2024,"Kyrgyzstan",6,30,21,0,42,27,2,122,6,"team_size_male",100
2024,"Kyrgyzstan",6,30,21,0,42,27,2,122,6,"team_size_female",0
2024,"Peru",6,42,25,0,35,16,4,122,6,"team_size_male",83.3333333333333
